"Solution Label","Type","Element","Flags","Soln Conc","Units","Corr Con","Units","Int"
"V D36_19-096","Samp","Mo 204.598","uv",0.00,"ppm",0.00,"ppm",79.98
"V D36_19-096","Samp","Na MultiCal","","-","ppm",1.03,"-","-"
"V D36_19-096","Samp","Ni 230.299","uv",-0.03,"ppm",-0.03,"ppm",49.71
"V D36_19-096","Samp","P multical","","-","ppm",0.20,"-","-"
"V D36_19-096","Samp","S 181.972","unca","uncal","ppm","uncal","ppm",158.8
"V D36_19-096","Samp","Zn 206.200","",0.01,"ppm",0.01,"ppm",56.25
"V D36_19-097","Samp","Al 394.401","",0.40,"ppm",0.40,"ppm",5705
"V D36_19-097","Samp","Ca 422.673","",4.68,"ppm",4.68,"ppm",494988
"V D36_19-097","Samp","Cu 324.754","uv",-0.00,"ppm",-0.00,"ppm",792.7
"V D36_19-097","Samp","Fe 238.204","",0.35,"ppm",0.35,"ppm",8172
"V D36_19-097","Samp","K MultiCal","","-","ppm",1.11,"-","-"
"V D36_19-097","Samp","Mg 280.270","",1.95,"ppm",1.95,"ppm",120332
"V D36_19-097","Samp","Mn 259.372","",0.06,"ppm",0.06,"ppm",2130
"V D36_19-097","Samp","Mo 204.598","uv",-0.00,"ppm",-0.00,"ppm",70.71
"V D36_19-097","Samp","Na MultiCal","","-","ppm",2.99,"-","-"
"V D36_19-097","Samp","Ni 230.299","uv",-0.02,"ppm",-0.02,"ppm",81.07
"V D36_19-097","Samp","P multical","","-","ppm",0.06,"-","-"
"V D36_19-097","Samp","S 181.972","unca","uncal","ppm","uncal","ppm",438.3
"V D36_19-097","Samp","Zn 206.200","",0.00,"ppm",0.00,"ppm",43.78
"V D36_19-098","Samp","Al 394.401","",0.35,"ppm",0.35,"ppm",5062
"V D36_19-098","Samp","Ca 422.673","",4.89,"ppm",4.89,"ppm",516139
"V D36_19-098","Samp","Cu 324.754","uv",-0.00,"ppm",-0.00,"ppm",803.2
"V D36_19-098","Samp","Fe 238.204","",0.35,"ppm",0.35,"ppm",8110
"V D36_19-098","Samp","K MultiCal","","-","ppm",1.19,"-","-"
"V D36_19-098","Samp","Mg 280.270","",2.09,"ppm",2.09,"ppm",128512
"V D36_19-098","Samp","Mn 259.372","",0.06,"ppm",0.06,"ppm",2186
"V D36_19-098","Samp","Mo 204.598","uv",-0.01,"ppm",-0.01,"ppm",56.48
"V D36_19-098","Samp","Na MultiCal","","-","ppm",3.14,"-","-"
"V D36_19-098","Samp","Ni 230.299","uv",-0.02,"ppm",-0.02,"ppm",90.01
"V D36_19-098","Samp","P multical","","-","ppm",0.05,"-","-"
"V D36_19-098","Samp","S 181.972","unca","uncal","ppm","uncal","ppm",482.0
"V D36_19-098","Samp","Zn 206.200","",0.01,"ppm",0.01,"ppm",50.72
"V D36_19-099","Samp","Al 394.401","",0.23,"ppm",0.23,"ppm",3414
"V D36_19-099","Samp","Ca 422.673","",5.30,"ppm",5.30,"ppm",557634
"V D36_19-099","Samp","Cu 324.754","uv",-0.00,"ppm",-0.00,"ppm",774.9
"V D36_19-099","Samp","Fe 238.204","",0.25,"ppm",0.25,"ppm",5847
"V D36_19-099","Samp","K MultiCal","","-","ppm",1.14,"-","-"
"V D36_19-099","Samp","Mg 280.270","",2.06,"ppm",2.06,"ppm",126710
"V D36_19-099","Samp","Mn 259.372","",0.08,"ppm",0.08,"ppm",3321
"V D36_19-099","Samp","Mo 204.598","uv",-0.00,"ppm",-0.00,"ppm",66.07
"V D36_19-099","Samp","Na MultiCal","","-","ppm",3.40,"-","-"
"V D36_19-099","Samp","Ni 230.299","uv",-0.02,"ppm",-0.02,"ppm",70.16
"V D36_19-099","Samp","P multical","","-","ppm",0.05,"-","-"
"V D36_19-099","Samp","S 181.972","unca","uncal","ppm","uncal","ppm",402.7
"V D36_19-099","Samp","Zn 206.200","uv",0.00,"ppm",0.00,"ppm",37.22
"V D36_19-100","Samp","Al 394.401","",0.35,"ppm",0.35,"ppm",5025
"V D36_19-100","Samp","Ca 422.673","",5.14,"ppm",5.14,"ppm",541588
"V D36_19-100","Samp","Cu 324.754","uv",-0.00,"ppm",-0.00,"ppm",754.5
"V D36_19-100","Samp","Fe 238.204","",0.35,"ppm",0.35,"ppm",7988
"V D36_19-100","Samp","K MultiCal","","-","ppm",1.29,"-","-"
"V D36_19-100","Samp","Mg 280.270","",2.06,"ppm",2.06,"ppm",126605
"V D36_19-100","Samp","Mn 259.372","",0.06,"ppm",0.06,"ppm",2455
"V D36_19-100","Samp","Mo 204.598","uv",-0.00,"ppm",-0.00,"ppm",65.18
"V D36_19-100","Samp","Na MultiCal","","-","ppm",3.70,"-","-"
"V D36_19-100","Samp","Ni 230.299","uv",-0.02,"ppm",-0.02,"ppm",62.15
"V D36_19-100","Samp","P multical","","-","ppm",0.06,"-","-"
"V D36_19-100","Samp","S 181.972","unca","uncal","ppm","uncal","ppm",412.0
"V D36_19-100","Samp","Zn 206.200","uv",0.01,"ppm",0.01,"ppm",47.16
"V D36_19-101","Samp","Al 394.401","",0.22,"ppm",0.22,"ppm",3171
"V D36_19-101","Samp","Ca 422.673","",3.50,"ppm",3.50,"ppm",373170
"V D36_19-101","Samp","Cu 324.754","uv",-0.00,"ppm",-0.00,"ppm",749.0
"V D36_19-101","Samp","Fe 238.204","",0.06,"ppm",0.06,"ppm",1336
"V D36_19-101","Samp","K MultiCal","","-","ppm",0.93,"-","-"
"V D36_19-101","Samp","Mg 280.270","",2.09,"ppm",2.09,"ppm",128985
"V D36_19-101","Samp","Mn 259.372","v",0.04,"ppm",0.04,"ppm",1040
"V D36_19-101","Samp","Mo 204.598","uv",-0.01,"ppm",-0.01,"ppm",55.75
"V D36_19-101","Samp","Na MultiCal","","-","ppm",2.35,"-","-"
"V D36_19-101","Samp","Ni 230.299","uv",-0.02,"ppm",-0.02,"ppm",95.16
"V D36_19-101","Samp","P multical","","-","ppm",0.05,"-","-"
"V D36_19-101","Samp","S 181.972","unca","uncal","ppm","uncal","ppm",537.3
"V D36_19-101","Samp","Zn 206.200","uv",0.00,"ppm",0.00,"ppm",40.22
"V D36_19-102","Samp","Al 394.401","",0.64,"ppm",0.64,"ppm",8979
"V D36_19-102","Samp","Ca 422.673","",5.42,"ppm",5.42,"ppm",570418
"V D36_19-102","Samp","Cu 324.754","uv",-0.00,"ppm",-0.00,"ppm",758.8
"V D36_19-102","Samp","Fe 238.204","",0.71,"ppm",0.71,"ppm",16344
"V D36_19-102","Samp","K MultiCal","","-","ppm",1.67,"-","-"
"V D36_19-102","Samp","Mg 280.270","",1.96,"ppm",1.96,"ppm",120867
"V D36_19-102","Samp","Mn 259.372","",0.07,"ppm",0.07,"ppm",2810
"V D36_19-102","Samp","Mo 204.598","uv",-0.01,"ppm",-0.01,"ppm",56.25
"V D36_19-102","Samp","Na MultiCal","","-","ppm",2.66,"-","-"
"V D36_19-102","Samp","Ni 230.299","uv",-0.02,"ppm",-0.02,"ppm",60.88
"V D36_19-102","Samp","P multical","","-","ppm",0.08,"-","-"
"V D36_19-102","Samp","S 181.972","unca","uncal","ppm","uncal","ppm",417.9
"V D36_19-102","Samp","Zn 206.200","uv",0.00,"ppm",0.00,"ppm",40.36
