"Solution Label","Type","Element","Flags","Soln Conc","Units","Corr Con","Units","Int"
"LTAR19-023","Samp","Mn 259.372","",5.41,"ppm",5.41,"ppm",585374
"LTAR19-023","Samp","Mo 204.598","v",0.02,"ppm",0.02,"ppm",132.4
"LTAR19-023","Samp","Na MultiCal","","-","ppm",0.73,"-","-"
"LTAR19-023","Samp","Ni 230.299","",0.25,"ppm",0.25,"ppm",3212
"LTAR19-023","Samp","P multical","","-","ppm",7.06,"-","-"
"LTAR19-023","Samp","S 181.972","",2.72,"ppm",2.72,"ppm",1191
"LTAR19-023","Samp","Zn 206.200","",0.52,"ppm",0.52,"ppm",2529
"LTAR19-024","Samp","Mg Multical","","-","ppm",7.13,"-","-"
"LTAR19-024","Samp","Ca Multical","o","-","ppm",6.45,"-","-"
"LTAR19-024","Samp","Al 394.401","",160.2,"ppm",160.2,"ppm",3546141
"LTAR19-024","Samp","Cu 324.754","",0.18,"ppm",0.18,"ppm",12018
"LTAR19-024","Samp","Fe 238.204","x",386.7,"ppm",386.7,"ppm",11696299
"LTAR19-024","Samp","K MultiCal","","-","ppm",9.36,"-","-"
"LTAR19-024","Samp","Mn 259.372","",6.94,"ppm",6.94,"ppm",748121
"LTAR19-024","Samp","Mo 204.598","v",0.02,"ppm",0.02,"ppm",143.8
"LTAR19-024","Samp","Na MultiCal","","-","ppm",0.75,"-","-"
"LTAR19-024","Samp","Ni 230.299","",0.27,"ppm",0.27,"ppm",3450
"LTAR19-024","Samp","P multical","","-","ppm",5.63,"-","-"
"LTAR19-024","Samp","S 181.972","",1.69,"ppm",1.69,"ppm",751.0
"LTAR19-024","Samp","Zn 206.200","",0.49,"ppm",0.49,"ppm",2358
"LTAR19-025","Samp","Mg Multical","","-","ppm",8.97,"-","-"
"LTAR19-025","Samp","Ca Multical","o","-","ppm",17.41,"-","-"
"LTAR19-025","Samp","Al 394.401","",135.2,"ppm",135.2,"ppm",3103651
"LTAR19-025","Samp","Cu 324.754","",0.19,"ppm",0.19,"ppm",12752
"LTAR19-025","Samp","Fe 238.204","x",314.3,"ppm",314.3,"ppm",10160606
"LTAR19-025","Samp","K MultiCal","","-","ppm",12.03,"-","-"
"LTAR19-025","Samp","Mn 259.372","",7.15,"ppm",7.15,"ppm",770675
"LTAR19-025","Samp","Mo 204.598","v",0.02,"ppm",0.02,"ppm",126.1
"LTAR19-025","Samp","Na MultiCal","","-","ppm",0.95,"-","-"
"LTAR19-025","Samp","Ni 230.299","",0.15,"ppm",0.15,"ppm",1992
"LTAR19-025","Samp","P multical","","-","ppm",8.04,"-","-"
